id,province,population,x_coord,y_coord,latitude,longitude,
190,1,4847,0,0,50.40028,5.60611,Ferrires
191,0,11338,0,0,50.42889,4.55417,Farciennes
192,1,3911,0,0,50.66222,5.25944,Faimes
193,1,19338,0,0,50.63056,6.03194,Eupen
194,3,2237,0,0,49.85028,5.6675,Fauvillers
195,2,7792,0,0,50.55667,4.98417,Fernelmont
196,3,5746,0,0,49.67444,5.60111,talle
197,1,13037,0,0,50.53361,5.56861,Esneux
198,0,7679,0,0,50.39694,4.09694,Estinnes
199,3,3232,0,0,50.29222,5.55861,reze
200,0,13489,0,0,50.69306,4.03694,Edingen
201,4,39785,0,0,50.6825,4.37028,Eigenbrakel
202,2,15951,0,0,50.58972,4.90972,gheze
203,0,5922,0,0,50.73389,3.68,Elzele
204,1,6018,0,0,50.5825,5.40472,Engis
205,0,9920,0,0,50.30944,4.11917,Erquelinnes
206,0,10922,0,0,50.56944,4.17528,caussinnes
207,3,11478,0,0,50.35278,5.45639,Durbuy
208,0,69471,0,0,50.60583,3.38833,Doornik
209,0,16733,0,0,50.39667,3.77861,Dour
210,1,3032,0,0,50.64833,5.32,Donceel
211,2,2958,0,0,50.13556,4.74528,Doische
212,4,10395,0,0,50.64222,4.56833,Court-Saint-tienne
213,1,15124,0,0,50.61028,5.85389,Dison
214,0,31217,0,0,50.45611,4.38111,Courcelles
215,1,3254,0,0,50.7175,5.3975,Crisne
216,1,7280,0,0,50.71306,5.72361,Dalhem
217,2,13946,0,0,50.05167,4.49722,Couvin
218,2,13494,0,0,50.26056,4.91222,Dinant
219,1,5360,0,0,50.47528,5.575,Comblain-au-Pont
220,0,20605,0,0,50.41444,3.84722,Colfontaine
221,0,9850,0,0,50.04833,4.31194,Chimay
222,1,4545,0,0,50.41139,5.35806,Clavier
223,0,202182,0,0,50.41139,4.44417,Charleroi
224,4,7518,0,0,50.60806,4.63778,Chastre
225,0,36463,0,0,50.40361,4.52194,Chtelet
226,1,20766,0,0,50.58528,5.64611,Chaudfontaine
227,4,11698,0,0,50.67861,4.71111,Chaumont-Gistoux
228,0,6946,0,0,50.58806,3.80667,Chivres
229,3,5233,0,0,49.73861,5.34139,Chiny
230,2,16323,0,0,50.29639,5.10028,Ciney
231,1,5605,0,0,50.42722,6.20556,Btgenbach
232,0,14810,0,0,50.47028,4.285,Chapelle-lez-Herlaimont
233,2,4853,0,0,50.17083,4.41222,Cerfontaine
234,0,5611,0,0,50.71194,3.45722,Celles
235,0,8068,0,0,50.51194,3.41167,Brunehaut
236,1,10279,0,0,50.73806,5.96111,Blieberg
237,1,14906,0,0,50.69778,5.255,Borgworm
238,1,13212,0,0,50.6725,5.725,Blegny
239,0,3619,0,0,50.59583,3.8525,Brugelette
240,3,5408,0,0,49.79556,5.08194,Bouillon
241,1,6238,0,0,50.62972,5.14556,Braives
242,1,5484,0,0,50.4075,6.25778,Bllingen
243,1,3964,0,0,50.19694,6.13361,Burg-Reuland
244,1,3263,0,0,50.58333,5.07222,Burdinne
245,1,8994,0,0,50.75917,5.60972,Bitsingen
246,2,3250,0,0,49.94139,5.01639,Bivre
247,1,12096,0,0,50.62333,5.65444,Beyne-Heusay
248,4,7104,0,0,50.78028,4.7725,Bevekom
249,3,3483,0,0,50.085,5.66806,Bertogne
250,0,33445,0,0,50.4125,4.16639,Binche
251,0,94964,0,0,50.45333,3.94861,Bergen
252,1,3024,0,0,50.69806,5.21333,Berloz
253,0,11943,0,0,50.47444,3.65056,Bernissart
254,3,8667,0,0,49.85444,5.25278,Bertrix
255,0,13982,0,0,50.54944,3.73222,Belil
256,2,9069,0,0,50.10944,4.95806,Beauraing
257,0,7052,0,0,50.2375,4.23528,Beaumont
258,0,7817,0,0,50.56778,3.45,Antoing
259,3,15580,0,0,50.00556,5.72139,Bastenaken
260,1,28159,0,0,50.66028,5.52028,Ans
261,1,4116,0,0,50.47972,5.52333,Anthisnes
