parent_nis,nis,parent_is_sub,population_rel_to_parent,latitude,longitude,name
41002,410021,True,0.13410960949094197,50.916666666666664,4.0,NIEUWERKERKEN
41002,410022,True,0.05969013350661972,50.96666666666667,4.066666666666666,HERDERSEM
41002,410023,True,0.2661819331383862,50.916666666666664,4.05,EREMBODEGEM
41002,410024,True,0.10781223015475762,50.95,4.1,MOORSEL
41002,410025,True,0.06870570879106404,50.93333333333333,4.133333333333334,MELDERT
41002,410026,True,0.07453656137762674,50.983333333333334,4.05,GIJZEGEM
41002,410027,True,0.04430511282641212,50.95,4.133333333333334,BAARDEGEM
41002,410028,True,0.13354759960308052,50.96666666666667,4.033333333333333,HOFSTADE
41002,41002,True,0.11111111111111105,50.93333333333333,4.033333333333333,AALST
44001,440011,True,0.3393625342197888,51.05,3.466666666666667,LOTENHULLE
44001,440012,True,0.33217637856863513,51.083333333333336,3.4833333333333334,BELLEM
44001,440013,True,0.07846108721157606,51.03333333333333,3.45,POEKE
44001,44001,True,0.25,51.083333333333336,3.45,AALTER
24001,240011,True,0.25,51.0,4.866666666666667,LANGDORP
24001,240012,True,0.25,50.96666666666667,4.9,RILLAAR
24001,240013,True,0.25,50.96666666666667,4.8,GELRODE
24001,24001,True,0.25,50.983333333333334,4.833333333333333,AARSCHOT
38002,380021,True,0.17331363860167406,50.93333333333333,2.6666666666666665,STAVELE
38002,380022,True,0.2124405054981126,50.983333333333334,2.6166666666666667,LEISELE
38002,380023,True,0.09637288691941573,51.0,2.65,IZENBERGE
38002,380024,True,0.08403085507959955,50.983333333333334,2.6666666666666665,GIJVERINKHOVE
38002,380025,True,0.18145412768751026,50.93333333333333,2.65,BEVEREN AAN DE IJZER
38002,380026,True,0.02888560643361234,51.0,2.7,SINT-RIJKERS
38002,380027,True,0.014967996061053668,51.03333333333333,2.7,OEREN
38002,380028,True,0.09742327260791071,50.983333333333334,2.7,HOOGSTADE
38002,38002,True,0.11111111111111105,51.016666666666666,2.716666666666667,ALVERINGEM
34002,340021,True,0.1310775407437651,50.81666666666667,3.4833333333333334,TIEGEM
34002,340022,True,0.07085502364669458,50.81666666666667,3.5,KASTER
34002,340023,True,0.3697560477697254,50.833333333333336,3.4,VICHTE
34002,340024,True,0.1935966792555544,50.81666666666667,3.4333333333333336,INGOOIGEM
34002,340025,True,0.06804804191759382,50.833333333333336,3.5,GIJZELBRECHTEGEM
34002,34002,True,0.16666666666666663,50.833333333333336,3.4833333333333334,ANZEGEM
37020,370201,True,0.5,51.0,3.216666666666667,KOOLSKAMP
37020,37020,True,0.5,50.983333333333334,3.2,ARDOOIE
71002,710021,True,0.5,51.016666666666666,5.6,NIEL-BIJ-AS
71002,71002,True,0.5,51.0,5.583333333333333,AS
23002,230021,True,0.16664289449912045,50.88333333333333,4.266666666666667,ZELLIK
23002,230022,True,0.16664289449912045,50.9,4.283333333333333,RELEGEM
23002,230023,True,0.2377216754623687,50.93333333333333,4.216666666666667,MOLLEM
23002,230024,True,0.09568297437360339,50.916666666666664,4.25,KOBBEGEM
23002,230025,True,0.16664289449912045,50.88333333333333,4.233333333333333,BEKKERZEEL
23002,23002,True,0.16666666666666652,50.916666666666664,4.2,ASSE
43002,430021,True,0.2624463798258157,51.2,3.6833333333333336,OOSTEEKLO
43002,430022,True,0.28974392304692576,51.233333333333334,3.6833333333333336,BASSEVELDE
43002,430023,True,0.19780969712725854,51.25,3.716666666666667,BOEKHOUTE
43002,43002,True,0.25,51.233333333333334,3.75,ASSENEDE
34003,340031,True,0.1130827067669173,50.75,3.4,BOSSUIT
34003,340032,True,0.2930526315789474,50.75,3.4333333333333336,OUTRIJVE
34003,340033,True,0.16721804511278196,50.78333333333333,3.4833333333333334,WAARMAARDE
34003,340034,True,0.22664661654135337,50.8,3.5,KERKHOVE
34003,34003,True,0.19999999999999996,50.78333333333333,3.45,AVELGEM
13003,130031,True,0.5,51.15,5.15,OLMEN
13003,13003,True,0.5,51.166666666666664,5.166666666666667,BALEN
31003,310031,True,0.33333333333333337,51.13333333333333,3.3666666666666667,SINT-JORIS
31003,310032,True,0.33333333333333337,51.166666666666664,3.3333333333333335,OEDELEM
31003,31003,True,0.33333333333333326,51.15,3.3333333333333335,BEERNEM
13004,130041,True,0.5,51.3,4.783333333333333,VLIMMEREN
13004,13004,True,0.5,51.31666666666667,4.85,BEERSE
23003,230031,True,0.19997999799979999,50.75,4.283333333333333,HUIZINGEN
23003,230032,True,0.2127812781278128,50.733333333333334,4.3,DWORP
23003,230033,True,0.2151015101510151,50.75,4.333333333333333,ALSEMBERG
23003,230034,True,0.17213721372137214,50.766666666666666,4.283333333333333,LOT
23003,23003,True,0.19999999999999996,50.766666666666666,4.316666666666666,BEERSEL
24007,240071,True,0.5,50.983333333333334,4.783333333333333,BETEKOM
24007,24007,True,0.5,51.016666666666666,4.783333333333333,BEGIJNENDIJK
24008,240081,True,0.29973958333333334,50.916666666666664,4.966666666666667,MOLENBEEK-WERSBEEK
24008,240082,True,0.3669270833333334,50.95,5.016666666666667,ASSENT
24008,24008,True,0.33333333333333326,50.95,4.983333333333333,BEKKEVOORT
71004,710041,True,0.24809558964263254,51.03333333333333,5.166666666666667,PAAL
71004,710042,True,0.026248872118776145,51.06666666666667,5.25,STAL
71004,710043,True,0.3546660104448637,51.06666666666667,5.266666666666667,KOERSEL
71004,710044,True,0.1709895277937276,51.083333333333336,5.216666666666667,BEVERLO
71004,71004,True,0.19999999999999996,51.05,5.216666666666667,BERINGEN
12002,120021,True,0.5,51.13333333333333,4.666666666666667,GESTEL
12002,12002,True,0.5,51.11666666666667,4.666666666666667,BERLAAR
42003,420031,True,0.20666979802724286,51.016666666666666,3.95,UITBERGEN
42003,420032,True,0.45999686863942385,51.05,3.95,OVERMERE
42003,42003,True,0.33333333333333326,51.03333333333333,4.0,BERLARE
24009,240091,True,0.33333333333333337,50.85,4.583333333333333,LEEFDAAL
24009,240092,True,0.33333333333333337,50.833333333333336,4.65,KORBEEK-DIJLE
24009,24009,True,0.33333333333333326,50.86666666666667,4.633333333333333,BERTEM
46003,460031,True,0.06391015871835855,51.25,4.183333333333334,VERREBROEK
46003,460032,True,0.12417760101103967,51.28333333333333,4.166666666666667,KIELDRECHT
46003,460033,True,0.004618444039698175,51.31666666666667,4.266666666666667,DOEL
46003,460034,True,0.07379753187376872,51.25,4.283333333333333,KALLO
46003,460035,True,0.12528342564026318,51.21666666666667,4.2,VRASENE
46003,460036,True,0.343976508196112,51.21666666666667,4.283333333333333,MELSELE
46003,460037,True,0.13923633052075976,51.18333333333333,4.25,HAASDONK
46003,46003,True,0.125,51.21666666666667,4.25,BEVEREN
24011,240111,True,0.25,50.81666666666667,4.8,OPVELP
24011,240112,True,0.25,50.85,4.783333333333333,LOVENJOEL
24011,240113,True,0.25,50.86666666666667,4.766666666666667,KORBEEK-LO
24011,24011,True,0.25,50.833333333333336,4.75,BIERBEEK
