id,province,population,x_coord,y_coord,latitude,longitude,name
116,40,42973,0,0,42.6181,2.4228,Prades
117,41,39130,0,0,43,-0.1,Argels-Gazost
118,41,46397,0,0,43.065,0.1506,Bagnres-de-Bigorre
119,40,72639,0,0,42.4892,2.7522,Cret
120,39,239965,0,0,48.82,7.79,Haguenau-Wissembourg
121,41,143341,0,0,43.23,0.07,Tarbes
122,42,285761,0,0,43.49,-1.48,Bayonne
123,42,303559,0,0,43.3,-0.37,Pau
124,42,74737,0,0,43.1947,-0.6056,Oloron-Sainte-Marie
125,39,102824,0,0,48.54,7.49,Molsheim
126,43,62388,0,0,45.545,3.2497,Issoire
127,43,57324,0,0,45.8572,3.5483,Thiers
128,43,120471,0,0,45.8944,3.1133,Riom
129,43,374074,0,0,45.7831,3.0824,Clermont-Ferrand
130,44,164800,0,0,50.7461,2.2617,Saint-Omer
131,43,26742,0,0,45.5503,3.7425,Ambert
132,44,161821,0,0,50.7264,1.6147,Boulogne-sur-Mer
133,44,285789,0,0,50.5303,2.6408,Bthune
134,44,112709,0,0,50.4648,1.763,Montreuil
135,44,118248,0,0,50.948056,1.856389,Calais
136,44,263144,0,0,50.292,2.78,Arras
137,45,99996,0,0,48.4306,0.0931,Alenon
138,44,358694,0,0,50.4322,2.8333,Lens
139,46,278751,0,0,49.2081,2.5875,Senlis
140,46,225899,0,0,49.4303,2.0952,Beauvais
141,46,129859,0,0,49.3797,2.4133,Clermont
142,47,349486,0,0,50.358,3.5233,Valenciennes
143,47,1227051,0,0,50.6278,3.0583,Lille
144,45,117328,0,0,48.75,-0.02,Argentan
145,46,180891,0,0,49.4149,2.8231,Compigne
146,45,71524,0,0,48.5208,0.5483,Mortagne-au-Perche
147,47,377081,0,0,51.0383,2.3775,Dunkerque
148,47,247279,0,0,50.3714,3.08,Douai
149,47,232032,0,0,50.1244,3.9267,Avesnes-sur-Helpe
150,48,44953,0,0,47.4122,2.9275,Cosne-Cours-sur-Loire
151,48,25249,0,0,47.4608,3.5203,Clamecy
152,47,162607,0,0,50.1767,3.2356,Cambrai
153,48,118974,0,0,46.9933,3.1572,Nevers
154,48,26045,0,0,47.0653,3.9331,Chteau-Chinon
155,49,93835,0,0,48.74,7.05,Sarrebourg-Chteau-Salins
156,49,342287,0,0,49.120278,6.177778,Metz
157,49,99982,0,0,49.11,7.07,Sarreguemines
158,49,264140,0,0,49.3589,6.1692,Thionville
159,49,246629,0,0,49.19,6.9,Forbach-Boulay-Moselle
160,50,124709,0,0,48.0692,-2.9614,Pontivy
161,51,44582,0,0,48.7619,5.5926,Commercy
162,50,300185,0,0,47.6559,-2.7603,Vannes
163,52,417430,0,0,48.6936,6.1846,Nancy
164,51,61224,0,0,48.7719,5.1603,Bar-le-Duc
165,52,69418,0,0,48.675,5.8917,Toul
166,53,154653,0,0,48.0733,-0.7689,Laval
167,53,63877,0,0,47.8286,-0.7028,Chteau-Gontier
168,53,88970,0,0,48.312,-0.6183,Mayenne
169,52,164589,0,0,49.249,5.94,Briey
170,52,79567,0,0,48.5894,6.5017,Lunville
171,51,86288,0,0,49.162,5.3876,Verdun
172,50,312884,0,0,47.75,-3.36,Lorient
173,54,65090,0,0,48.1117,5.1389,Chaumont
174,55,120815,0,0,49.0403,3.96,pernay
175,54,71755,0,0,48.6383,4.9497,Saint-Dizier
176,54,44676,0,0,47.8633,5.3339,Langres
177,55,46457,0,0,48.7256,4.5853,Vitry-le-Franois
178,55,294724,0,0,49.2628,4.0347,Reims
179,55,110297,0,0,48.9575,4.365,Chlons-en-Champagne
180,56,190262,0,0,49.639,-1.625,Cherbourg
181,56,84327,0,0,49.05,-1.44,Coutances
182,56,101807,0,0,49.12,-1.09,Saint-L
183,57,203287,0,0,47.06,-0.8783,Cholet
184,58,63277,0,0,44.5194,3.5014,Mende
185,57,397209,0,0,47.473612,-0.554167,Angers
186,59,39137,0,0,44.136111,0.340278,Nrac
187,58,13330,0,0,44.324,3.594,Florac
188,57,137006,0,0,47.26,-0.0769,Saumur
189,59,90820,0,0,44.4081,0.705,Villeneuve-sur-Lot
190,57,62689,0,0,47.6872,-0.8708,Segr
191,59,83124,0,0,44.5,0.17,Marmande
192,56,123523,0,0,48.685,-1.3556,Avranches
193,59,120099,0,0,44.2049,0.6212,Agen
194,60,54016,0,0,44.6086,2.0317,Figeac
195,60,43538,0,0,44.7371,1.3825,Gourdon
196,61,63017,0,0,48.1725,2.2525,Pithiviers
197,61,431785,0,0,47.9025,1.909,Orlans
198,62,820143,0,0,47.2181,-1.5528,Nantes
199,60,76204,0,0,44.4483,1.4414,Cahors
200,62,216363,0,0,47.7178,-1.375,Chteaubriant-Ancenis
201,62,318440,0,0,47.2806,-2.2086,Saint-Nazaire
202,61,170785,0,0,47.9978,2.7333,Montargis
203,63,84292,0,0,45.1436,4.1244,Yssingeaux
204,63,95979,0,0,45.0442,3.8858,Le Puy-en-Velay
205,64,412439,0,0,45.4347,4.3903,Saint-tienne
206,63,45932,0,0,45.295,3.385,Brioude
207,65,171674,0,0,47.5939,1.3281,Blois
208,65,70627,0,0,47.7936,1.0664,Vendme
209,65,89700,0,0,47.3589,1.7436,Romorantin-Lanthenay
210,64,187181,0,0,45.6083,4.0658,Montbrison
211,64,157095,0,0,46.0367,4.0689,Roanne
212,66,178986,0,0,43.89,-0.5,Mont-de-Marsan
213,67,51152,0,0,46.3878,5.8639,Saint-Claude
214,66,218240,0,0,43.71,-1.05,Dax
215,67,83474,0,0,47.0931,5.4906,Dole
216,68,755863,0,0,45.2002,5.7222,Grenoble
217,67,125876,0,0,46.6753,5.5544,Lons-le-Saunier
218,68,267418,0,0,45.565,5.4444,La Tour-du-Pin
219,68,212106,0,0,45.5242,4.8781,Vienne
220,69,462714,0,0,47.3936,0.6892,Tours
221,70,33172,0,0,46.5831,1.9878,La Chtre
222,70,35252,0,0,46.9608,1.9944,Issoudun
223,69,86706,0,0,47.1678,0.2436,Chinon
224,69,50832,0,0,47.1292,0.9961,Loches
225,71,74868,0,0,44.8928,1.2153,Sarlat-la-Canda
226,71,189098,0,0,45.1929,0.7217,Prigueux
227,70,127499,0,0,46.8103,1.6911,Chteauroux
228,72,247641,0,0,47.24,6.02,Besanon
229,70,32168,0,0,46.6344,1.0636,Le Blanc
230,73,105580,0,0,47.6522,-2.0836,Redon
231,73,581647,0,0,48.1147,-1.6794,Rennes
232,73,154820,0,0,48.6481,-2.0075,Saint-Malo
233,72,177396,0,0,47.51,6.8,Montbliard
234,73,177876,0,0,48.3525,-1.1986,Fougres-Vitr
235,72,108283,0,0,46.9067,6.3556,Pontarlier
236,74,29703,0,0,42.5686,8.7569,Calvi
237,75,151231,0,0,44.92,-0.24,Libourne
238,74,84130,0,0,42.7008,9.4503,Bastia
239,74,57141,0,0,42.3064,9.1514,Corte
240,76,308948,0,0,43.3476,3.219,Bziers
241,75,85544,0,0,45.3078,-0.9364,Lesparre-Mdoc
242,76,689922,0,0,43.6119,3.8772,Montpellier
243,5,97474,0,0,47.025,4.8397,Beaune
244,76,93461,0,0,43.7325,3.3203,Lodve
245,77,71450,0,0,47.2225,2.0694,Vierzon
246,78,38022,0,0,43.52,0.4,Mirande
247,79,1008156,0,0,43.6045,1.444,Toulouse
248,75,129850,0,0,44.55,-0.25,Langon
249,78,86628,0,0,43.6465,0.5855,Auch
250,75,143557,0,0,44.65,-1.17,Arcachon
251,78,65626,0,0,43.96,0.37,Condom
252,75,907877,0,0,44.84,-0.58,Bordeaux
253,80,26369,0,0,45.2197,2.3342,Mauriac
254,75,87458,0,0,45.1286,-0.6611,Blaye
255,3,103977,0,0,49.3817,3.3236,Soissons
256,81,151844,0,0,44.1281,4.0817,Als
257,81,544941,0,0,43.838,4.361,Nmes
258,6,35540,0,0,44.8964,6.6356,Brianon
259,81,36416,0,0,43.9931,3.6061,Le Vigan
260,79,212655,0,0,43.4611,1.3267,Muret
261,79,77751,0,0,43.1089,0.7242,Saint-Gaudens
262,3,66637,0,0,49.8358,3.91,Vervins
263,82,318805,0,0,47.9967,-4.0964,Quimper
264,82,85769,0,0,48.1975,-4.0886,Chteaulin
265,82,129152,0,0,48.5783,-3.8267,Morlaix
266,83,37147,0,0,48.3225,0.8225,Nogent-le-Rotrou
267,83,129058,0,0,48.7372,1.3664,Dreux
268,83,59770,0,0,48.0717,1.3387,Chteaudun
269,83,206992,0,0,48.456,1.484,Chartres
270,84,166809,0,0,49.09,0.6,Bernay
271,85,338020,0,0,44.9333,4.8917,Valence
272,84,247001,0,0,49.02,1.15,vreux
273,84,181233,0,0,49.2461,1.4125,Les Andelys
274,82,370195,0,0,48.39,-4.49,Brest
275,85,42668,0,0,44.7536,5.3703,Die
276,71,112156,0,0,44.85,0.48,Bergerac
277,85,140345,0,0,44.3603,5.1397,Nyons
278,71,40787,0,0,45.5294,0.6619,Nontron
279,86,37354,0,0,45.957,2.1683,Aubusson
280,87,39811,0,0,41.6217,8.9742,Sartne
281,88,87677,0,0,48.5633,-3.15,Guingamp
282,88,100096,0,0,48.7333,-3.4542,Lannion
283,88,129498,0,0,48.4564,-2.0489,Dinan
284,88,279814,0,0,48.5136,-2.7653,Saint-Brieuc
285,87,109423,0,0,41.9267,8.7369,Ajaccio
286,86,83518,0,0,46.1714,1.8692,Guret
287,89,32974,0,0,45.5489,2.31,Ussel
288,89,78329,0,0,45.2673,1.7655,Tulle
289,77,65824,0,0,46.7,2.51,Saint-Amand-Montrond
290,90,128259,0,0,45.7464,-0.6333,Saintes
291,89,129478,0,0,45.1583,1.5321,Brive-la-Gaillarde
292,90,53494,0,0,45.9466,-0.5294,Saint-Jean-d'Angly
293,77,174376,0,0,47.0844,2.3964,Bourges
294,90,207697,0,0,46.1591,-1.1517,La Rochelle
295,90,56884,0,0,45.4467,-0.4336,Jonzac
296,90,187083,0,0,45.9421,-0.9588,Rochefort
297,91,92032,0,0,45.7,-0.33,Cognac
298,91,64457,0,0,46.0144,0.6733,Confolens
299,80,38125,0,0,45.0344,3.0936,Saint-Flour
