parent_id,id,population_rel_to_parent,latitude,longitude,name
31003,310033,0.33333333333333337,51.166666666666664,3.3333333333333335,OEDELEM
31003,310031,0.33333333333333326,51.15,3.3333333333333335,BEERNEM
13004,130042,0.5,51.3,4.783333333333333,VLIMMEREN
13004,130041,0.5,51.31666666666667,4.85,BEERSE
23003,230032,0.19997999799979999,50.75,4.283333333333333,HUIZINGEN
23003,230033,0.2127812781278128,50.733333333333334,4.3,DWORP
23003,230034,0.2151015101510151,50.75,4.333333333333333,ALSEMBERG
23003,230035,0.17213721372137214,50.766666666666666,4.283333333333333,LOT
23003,230031,0.19999999999999996,50.766666666666666,4.316666666666666,BEERSEL
24007,240072,0.5,50.983333333333334,4.783333333333333,BETEKOM
24007,240071,0.5,51.016666666666666,4.783333333333333,BEGIJNENDIJK
24008,240082,0.29973958333333334,50.916666666666664,4.966666666666667,MOLENBEEK-WERSBEEK
24008,240083,0.3669270833333334,50.95,5.016666666666667,ASSENT
24008,240081,0.33333333333333326,50.95,4.983333333333333,BEKKEVOORT
71004,710042,0.24809558964263254,51.03333333333333,5.166666666666667,PAAL
71004,710043,0.026248872118776145,51.06666666666667,5.25,STAL
71004,710044,0.3546660104448637,51.06666666666667,5.266666666666667,KOERSEL
71004,710045,0.1709895277937276,51.083333333333336,5.216666666666667,BEVERLO
71004,710041,0.19999999999999996,51.05,5.216666666666667,BERINGEN
12002,120022,0.5,51.13333333333333,4.666666666666667,GESTEL
12002,120021,0.5,51.11666666666667,4.666666666666667,BERLAAR
42003,420032,0.20666979802724286,51.016666666666666,3.95,UITBERGEN
42003,420033,0.45999686863942385,51.05,3.95,OVERMERE
42003,420031,0.33333333333333326,51.03333333333333,4.0,BERLARE
24009,240092,0.33333333333333337,50.85,4.583333333333333,LEEFDAAL
24009,240093,0.33333333333333337,50.833333333333336,4.65,KORBEEK-DIJLE
24009,240091,0.33333333333333326,50.86666666666667,4.633333333333333,BERTEM
46003,460032,0.06391015871835855,51.25,4.183333333333334,VERREBROEK
46003,460033,0.12417760101103967,51.28333333333333,4.166666666666667,KIELDRECHT
46003,460034,0.004618444039698175,51.31666666666667,4.266666666666667,DOEL
46003,460035,0.07379753187376872,51.25,4.283333333333333,KALLO
46003,460036,0.12528342564026318,51.21666666666667,4.2,VRASENE
46003,460037,0.343976508196112,51.21666666666667,4.283333333333333,MELSELE
46003,460038,0.13923633052075976,51.18333333333333,4.25,HAASDONK
46003,460031,0.125,51.21666666666667,4.25,BEVEREN
24011,240112,0.25,50.81666666666667,4.8,OPVELP
24011,240113,0.25,50.85,4.783333333333333,LOVENJOEL
24011,240114,0.25,50.86666666666667,4.766666666666667,KORBEEK-LO
24011,240111,0.25,50.833333333333336,4.75,BIERBEEK
73006,730062,0.07692307692307691,50.86666666666667,5.55,WALTWILDER
73006,730063,0.07692307692307691,50.85,5.583333333333333,ROSMEER
73006,730064,0.01774300198368966,50.86666666666667,5.566666666666666,HOELBEEK
73006,730065,0.03636764381750055,50.833333333333336,5.55,KLEINE-SPOUWEN
73006,730066,0.04852692675042245,50.833333333333336,5.55,GROTE-SPOUWEN
73006,730067,0.07692307692307691,50.85,5.533333333333333,MARTENSLINDE
73006,730068,0.050143266475644696,50.833333333333336,5.516666666666667,RIJKHOVEN
73006,730069,0.1656748218352803,50.88333333333333,5.533333333333333,MUNSTERBILZEN
73006,7300610,0.07692307692307691,50.86666666666667,5.566666666666666,MOPERTINGEN
73006,7300611,0.02835941517889942,50.85,5.616666666666667,HEES
73006,7300612,0.08316802586143561,50.88333333333333,5.566666666666666,EIGENBILZEN
73006,7300613,0.1854015134817427,50.9,5.466666666666667,BEVERST
73006,730061,0.07692307692307698,50.86666666666667,5.516666666666667,BILZEN
31004,310042,0.5,51.3,3.15,UITKERKE
